,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
7775,-77.2110579231,-230.6136901935,-77211.0579230939,-230613.6901935012,-120.8568184328,35.9383791929,-186.0,205.3,14.3
15765,-77.6751941671,-226.4389004624,-77675.1941671498,-226438.9004623851,-120.8623901075,35.9759148045,-164.0,377.1,19.4
3004,-71.254642791,-233.8607488733,-71254.6427910424,-233860.7488732583,-120.7904223203,35.9096204412,-150.2,2239.1,47.3
17634,-76.050717313,-225.511169411,-76050.717312954,-225511.169411026,-120.8444470304,35.984395972,-10.8,1655.4,40.7
6060,-70.8678625877,-231.6960430868,-70867.8625876625,-231696.0430867536,-120.7863311501,35.9291324881,-83.0,1090.0,33.0
19241,-71.7961350758,-224.7380602016,-71796.1350757744,-224738.06020156,-120.7972797563,35.991685466,154.2,1533.1,39.2
24856,-76.2054293943,-221.4910015218,-76205.429394306,-221491.001521803,-120.8465633997,36.0205645552,113.3,821.9,28.7
11462,-71.3319988317,-228.6809171698,-71331.9988317184,-228680.9171698364,-120.7917602267,35.9562345284,-29.1,1691.6,41.1
15616,-77.3657700044,-226.5162113833,-77365.7700044458,-226516.2113833317,-120.8589471328,35.9752442877,-175.9,68.0,8.2
520,-74.3488844181,-236.1800765017,-74348.8844180821,-236180.0765016562,-120.8245210676,35.8885082837,-113.2,1512.0,38.9
2369,-70.0943021809,-234.4019253199,-70094.3021809026,-234401.9253198845,-120.7775021023,35.9048359887,-161.0,2092.7,45.7
14019,-71.1772867504,-227.3666315137,-71177.2867503664,-227366.6315137442,-120.7901646355,35.9680748763,-0.6,1862.8,43.2
22064,-74.2715283774,-223.2691527036,-74271.5283774061,-223269.1527035746,-120.8249089948,36.0047149229,160.4,1365.7,37.0
23858,-75.1224448248,-222.1867998103,-75122.4448248421,-222186.7998103223,-120.8344651576,36.0143889182,143.2,252.6,15.9
17765,-77.9072622892,-225.4338584901,-77907.2622891778,-225433.8584900794,-120.8650683163,35.9849411223,-81.5,578.5,24.1
15982,-72.7244075639,-226.3615895414,-72724.4075638863,-226361.5895414385,-120.8074339768,35.9770029974,15.0,869.8,29.5
17559,-81.8524203637,-225.511169411,-81852.4203636534,-225511.169411026,-120.9088637983,35.9839131479,-176.9,660.3,25.7
20129,-74.8903767028,-224.2741946759,-74890.3767028141,-224274.1946758804,-120.8316840655,35.9956209867,108.3,1268.9,35.6
5304,-74.1168162961,-232.1599086124,-74116.8162960542,-232159.9086124332,-120.8223342753,35.9247094784,-137.2,382.6,19.6
16970,-79.609095184,-225.8204130948,-79609.0951840496,-225820.4130948124,-120.8839240648,35.9813208723,-140.3,786.7,28.0
69,-74.1168162961,-236.7985638692,-74116.8162960542,-236798.563869229,-120.8218881281,35.8829597283,-113.8,1391.0,37.3
9650,-73.884748174,-229.6086482212,-73884.7481740262,-229608.6482211956,-120.820004401,35.9476895025,-114.6,271.2,16.5
8130,-70.790506547,-230.4590683516,-70790.5065469865,-230459.0683516081,-120.7855865915,35.9402713629,-37.6,768.3,27.7
10818,-75.1224448248,-228.9901608536,-75122.4448248421,-228990.1608536228,-120.8338005496,35.9531588246,-140.9,491.8,22.2
18835,-79.14495894,-224.8926820435,-79144.9589399937,-224892.6820434532,-120.8788664,35.9897092191,-98.7,419.5,20.5
20579,-75.8186491909,-224.042261913,-75818.649190926,-224042.2619130406,-120.8420151951,35.9976346169,95.3,1346.2,36.7
15809,-74.2715283774,-226.4389004624,-74271.5283774061,-226438.9004623851,-120.8246028021,35.9761873488,-44.5,1686.2,41.1
25568,-82.7806928518,-220.8725141542,-82780.6928517653,-220872.5141542302,-120.9196700136,36.025579558,-96.3,960.1,31.0
21911,-75.2771569062,-223.3464636245,-75277.156906194,-223346.4636245212,-120.836070027,36.0039398526,130.9,340.2,18.4
21129,-79.9185193468,-223.7330182293,-79918.5193467536,-223733.0182292542,-120.8875764668,36.0000811941,-105.1,943.4,30.7
20884,-75.7412931502,-223.8876400711,-75741.29315025,-223887.6400711474,-120.8411713862,35.9990323777,102.3,1228.3,35.0
3283,-72.3376273605,-233.6288161104,-72337.6273605063,-233628.8161104185,-120.8024569918,35.9116260412,-144.6,1228.9,35.1
2314,-74.3488844181,-234.4019253199,-74348.8844180821,-234401.9253198845,-120.8246925935,35.9045124193,-130.9,311.4,17.6
21821,-82.239200567,-223.3464636245,-82239.2005670334,-223346.4636245212,-120.9133897791,36.0033617425,-148.6,1984.9,44.6
8529,-71.9508471571,-230.2271355888,-71950.8471571264,-230227.1355887683,-120.7984843628,35.9422715646,-68.2,924.0,30.4
9488,-75.0450887842,-229.6859591421,-75045.0887841661,-229685.9591421422,-120.8328741604,35.9469026556,-127.5,284.6,16.9
